package,p_pair,p_n,percent_n
numpy,3.5509671e-05,0.04256756,4.256756
accelerate,4.3403446e-06,0.0053028237,0.53028237
pillow,1.8224172e-07,0.00022322121,0.022322121
timm,5.4402604e-08,6.6640971e-05,0.0066640971
markupsafe,3.0383657e-08,3.7219287e-05,0.0037219287
httpcore,2.8768286e-08,3.524053e-05,0.003524053
anyio,2.8768286e-08,3.524053e-05,0.003524053
attrs,2.5524501e-08,3.1267026e-05,0.0031267026
psutil,1.7013071e-08,2.0840795e-05,0.0020840795
googletrans,4.3748553e-09,5.3591833e-06,0.00053591833
webcolors,6.1134615e-11,7.4889947e-08,7.4889947e-06
protobuf,3.9020952e-11,4.7800598e-08,4.7800598e-06
torchmetrics,0,0,0
pytorch-lightning,0,0,0
torch,0,0,0
albumentations,0,0,0
charset-normalizer,0,0,0
flatbuffers,0,0,0
gradio,0,0,0
fsspec,0,0,0
altair,0,0,0
async-timeout,0,0,0
av,0,0,0
certifi,0,0,0
packaging,0,0,0
nvidia-cudnn-cu12,0,0,0
jsonschema-specifications,0,0,0
gradio_client,0,0,0
regex,0,0,0
tifffile,0,0,0
qrcode,0,0,0
pytz,0,0,0
tzdata,0,0,0
triton,0,0,0
watchdog,0,0,0
urllib3,0,0,0
pytorch_lightning,0,0,0
flask,0,0,0
setuptools,0,0,0
importlib-metadata,0,0,0
