node_id,downloads
ComfyUI-Allegro,0
ComfyUI-AutoTrimBG,0
ComfyUI-DeepFuze,0
ComfyUI-DragNUWA,0
ComfyUI-Flowty-LDSR,0
ComfyUI-Flowty-TripoSR,0
ComfyUI-Image-Harmonizer,0
ComfyUI-LivePortrait_v2,0
ComfyUI-LivePortrait_v3,0
ComfyUI-MARS5-TTS,0
ComfyUI-MotionCtrl,0
ComfyUI-MotionCtrl-SVD,0
ComfyUI-MusePose-Remaster,0
ComfyUI-NSFW-Check,0
ComfyUI-PhotoDoodle,0
ComfyUI-RVC,0
ComfyUI-RabbitMQ-Publisher,0
ComfyUI-SVD,0
ComfyUI-SceneGenerator,0
ComfyUI-Simple_QR_Codes,0
ComfyUI-SmartCrop,0
ComfyUI-StyleStudio,0
ComfyUI-ToonCrafter,0
ComfyUI-Turtle_Graphics_Demos,0
ComfyUI-aichemy-nodes,0
ComfyUI-moondream,0
ComfyUI_CosyVoice,0
ComfyUI_CrossImageAttention,0
ComfyUI_LLaSM,0
ComfyUI_Light_A_Video,0
ComfyUI_MagicQuill,0
ComfyUI_MaskGCT,0
ComfyUI_NTCosyVoice,0
ComfyUI_Seg_VITON,0
ComfyUI_SemanticSAM,0
ComfyUI_Sticker_Compositer,0
Comfyui-FlowChain,0
Comfyui-MusePose,0
Comfyui_CXH_Phi_3.5,0
Comfyui_Lama,0
Comfyui_face_restorer,0
Comfyui_joy-caption-alpha-two,0
Comfyui_mobilesam,0
CosyVoice2,727
F5-TTS-ComfyUI,0
FireRedTTS-ComfyUI,0
FitDiT-ComfyUI,0
Gecco-Discord-Autosend,0
Lora-Training-in-Comfy,0
Openrouter-Node,0
StableDesign-for-ComfyUI,0
ViewCrafter-ComfyUI,0
comfy_clip_blip_node,0
comfyui-Image-reward,0
comfyui-colorwheel,765
comfyui-elegant-resource-monitor,2069
comfyui-fal-api-flux,2580
comfyui-googletrans,1959
comfyui-idm-vton,4322
comfyui-impact-subpack,235101
comfyui-kandinsky22,903
comfyui-mvadapter,33484
comfyui-nsfw-detection,1236
comfyui-prompt-factory,1160
comfyui-reactor,126051
comfyui-scene-composer,2530
comfyui-seamless-clone,959
comfyui-seggpt,946
comfyui-stringsandthings,1796
comfyui-structured-outputs,757
comfyui-styles_csv_loader_zh,497
comfyui-triposg,17
comfyui-unianimate-w,4257
comfyui_creepy_nodes,431
comfyui_dagthomas,3618
comfyui_glm4_wrapper,1059
comfyui_if_memoavatar,1500
comfyui_llm_easyanimiate,947
comfyui_magicquill_fixed,5
comfyui_simpletools,820
comfyui_slk_joy_caption_two,20926
comfyui_usability,798
comfyui_visual_anagrams,0
diffusion360_comfyui,1232
fooocus_nodes,5329
img2colors-comfyui-node,1139
interior-design-for-comfyui,718
katalist-ai_comfyUI-nsfw-detection,0
objectfusion_comfyui_nodes,766
petty-paint-comfyui-node,0
promptprism,611
sd-lora-trainer,0
secureapicall,726
sketch2manga,1081
